ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff
64,58,6,62,62.15703125,1.46830914939925,0.98
64,58,6,62,62.15703125,1.46830914939925,0.99
64,58,6,62,62.15703125,1.46830914939925,1
64,58,6,62,62.15703125,1.46830914939925,1.01
64,58,6,62,62.15703125,1.46830914939925,1.02
64,56,8,62,62.09140625,1.57688181850972,0.98
64,56,8,62,62.09140625,1.57688181850972,0.99
64,56,8,62,62.09140625,1.57688181850972,1
64,56,8,62,62.09140625,1.57688181850972,1.01
64,56,8,62,62.09140625,1.57688181850972,1.02
64,56,8,62,61.9375,1.63450862705449,0.98
64,56,8,62,61.9375,1.63450862705449,0.99
64,56,8,62,61.9375,1.63450862705449,1
64,56,8,62,61.9375,1.63450862705449,1.01
64,56,8,62,61.9375,1.63450862705449,1.02
64,56,8,62,62.02734375,1.66790120341553,0.98
64,56,8,62,62.02734375,1.66790120341553,0.99
64,56,8,62,62.02734375,1.66790120341553,1
64,56,8,62,62.02734375,1.66790120341553,1.01
64,56,8,62,62.02734375,1.66790120341553,1.02
64,55,9,62,62.08046875,1.5971807939202,0.98
64,55,9,62,62.08046875,1.5971807939202,0.99
64,55,9,62,62.08046875,1.5971807939202,1
64,55,9,62,62.08046875,1.5971807939202,1.01
64,55,9,62,62.08046875,1.5971807939202,1.02
64,54,10,62,61.90546875,1.69890773878002,0.98
64,54,10,62,61.90546875,1.69890773878002,0.99
64,54,10,62,61.90546875,1.69890773878002,1
64,54,10,62,61.90546875,1.69890773878002,1.01
64,54,10,62,61.90546875,1.69890773878002,1.02
64,54,10,62,62.0078125,1.71274071203936,0.98
64,54,10,62,62.0078125,1.71274071203936,0.99
64,54,10,62,62.0078125,1.71274071203936,1
64,54,10,62,62.0078125,1.71274071203936,1.01
64,54,10,62,62.0078125,1.71274071203936,1.02
64,55,9,62,62.08046875,1.5971807939202,0.98
64,55,9,62,62.08046875,1.5971807939202,0.99
64,55,9,62,62.08046875,1.5971807939202,1
64,55,9,62,62.08046875,1.5971807939202,1.01
64,55,9,62,62.08046875,1.5971807939202,1.02
64,54,10,62,61.90546875,1.69890773878002,0.98
64,54,10,62,61.90546875,1.69890773878002,0.99
64,54,10,62,61.90546875,1.69890773878002,1
64,54,10,62,61.90546875,1.69890773878002,1.01
64,54,10,62,61.90546875,1.69890773878002,1.02
64,54,10,62,62.0078125,1.71274071203936,0.98
64,54,10,62,62.0078125,1.71274071203936,0.99
64,54,10,62,62.0078125,1.71274071203936,1
64,54,10,62,62.0078125,1.71274071203936,1.01
64,54,10,62,62.0078125,1.71274071203936,1.02
